City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
433,nizhneangarsk,55.7833,109.55,-6.67,58,37,1.79,RU,1699738962
435,metkovic,43.0542,17.6483,5.26,83,27,1.44,HR,1699738962
436,novyy urgal,51.0736,132.5642,-17.6,98,34,0.43,RU,1699738962
437,kurmuk,10.55,34.2833,22.59,78,76,1.18,SD,1699738962
438,choibalsan,48.0667,114.5,-15.49,88,6,4.15,MN,1699738963
439,ingraj bazar,25.0,88.15,20.91,66,0,0.98,IN,1699738963
440,howrah,22.5892,88.3103,22.0,88,0,1.54,IN,1699738796
441,olyokminsk,60.3736,120.4264,-7.26,73,100,5.79,RU,1699738963
442,thaon-les-vosges,48.25,6.4167,5.08,96,82,2.47,FR,1699738963
443,ketchikan,55.3422,-131.6461,7.26,81,75,3.09,US,1699738963
447,fort mcmurray,56.7268,-111.381,0.77,86,40,5.14,CA,1699738964
448,vilyuysk,63.7553,121.6247,-8.89,90,78,4.47,RU,1699738743
449,zhuanghe,39.7008,122.9911,-3.87,55,0,3.21,CN,1699738964
451,dolinsk,47.35,142.8,-9.04,88,74,2.29,RU,1699738965
452,buraydah,26.326,43.975,21.25,30,35,3.24,SA,1699738965
454,porto novo,6.4965,2.6036,28.9,86,10,3.36,BJ,1699738495
456,khuzdar,27.7384,66.6434,14.57,15,5,2.72,PK,1699738965
457,basco,20.4487,121.9702,27.46,65,7,5.09,PH,1699738966
459,rabo de peixe,37.8,-25.5833,20.55,99,75,3.09,PT,1699738457
460,ayancik,41.9447,34.5861,21.78,51,100,3.83,TR,1699738966
461,salym,60.0625,71.4789,0.4,99,100,2.01,RU,1699738798
464,amungan,15.3652,119.9582,26.13,76,61,2.11,PH,1699738967
465,ukiah,39.1502,-123.2078,22.47,58,0,0.45,US,1699738967
466,aoulef,26.9667,1.0833,24.15,22,0,4.44,DZ,1699738967
467,lushun,38.8,121.2667,-2.88,60,100,6.03,CN,1699738967
468,al jawf,29.5,38.75,23.03,31,98,5.76,SA,1699738427
469,shiyan,32.6475,110.7781,4.07,92,61,2.0,CN,1699738968
470,kudahuvadhoo,2.6708,72.8944,27.88,76,82,2.52,MV,1699738968
473,tarakan,3.3,117.6333,24.72,94,20,1.03,ID,1699738968
474,okhotsk,59.3833,143.3,-20.51,90,3,9.19,RU,1699738968
475,gaoping,30.7758,106.1029,13.15,72,100,6.66,CN,1699738969
476,jebrail,39.3992,47.0283,9.62,77,4,0.87,AZ,1699738969
477,sironj,24.1,77.7,17.31,55,0,2.11,IN,1699738969
479,kamaishi,39.2667,141.8833,4.98,77,55,1.76,JP,1699738802
480,siwa oasis,29.2041,25.5195,21.35,50,0,0.64,EG,1699738969
481,holualoa,19.6228,-155.9522,24.91,79,75,3.09,US,1699738970
482,nemuro,43.3236,145.575,1.79,69,3,6.93,JP,1699738599
484,sarikei,2.1167,111.5167,22.76,99,72,0.62,MY,1699738971
488,gurlan,41.8447,60.3919,4.04,55,0,2.9,UZ,1699738972
489,nanpara,27.8667,81.5,17.19,65,0,3.0,IN,1699738973
490,la sarre,48.8002,-79.1996,-4.1,89,100,1.22,CA,1699738617
491,altai,46.3722,96.2583,-9.66,59,100,1.38,MN,1699738563
492,san felipe,10.3399,-68.7425,25.36,92,99,1.07,VE,1699738973
494,guerrero negro,27.9769,-114.0611,24.79,23,0,4.3,MX,1699738570
495,camargo,27.6667,-105.1667,18.87,61,92,2.87,MX,1699738974
499,lincoln city,44.9582,-124.0179,13.91,93,100,4.92,US,1699738975
500,kerouane,9.2667,-9.0167,25.08,71,89,0.44,GN,1699738975
501,marco,25.9726,-81.729,30.01,84,100,0.0,US,1699738975
502,kailua-kona,19.6406,-155.9956,26.98,79,75,3.09,US,1699738491
